id,name,sku,price,category,image,description
1,"Radha Krishna Haram","SSV-HRM-001","₹ 1,89,000","Necklaces","/images/floral_kundan.png","A masterpiece beautifully portraying Radha Krishna, set in heavy gold and premium colored stones."
2,"Classic Gold Bangles","SSV-BNG-002","₹ 85,000","Bangles","/picture/section-one.jpeg","Beautifully sculpted classic gold bangles to adorn your wrists. A perfect blend of heritage and contemporary charm."
3,"Sterling Silver Bracelet","SSV-BRC-003","₹ 12,500","Bracelets","/images/floral_kundan.png","Elegant and timeless sterling silver bracelet suitable for everyday wear."
4,"Classic Diamond Ring","SSV-RNG-004","₹ 75,000","Rings","/images/mango_kundan.png","A brilliant-cut diamond solitaire ring mounted on a sturdy gold band."
5,"Royal Antique Bridal Set","SSV-BRL-005","₹ 4,50,000","Bridal Sets","/images/floral_kundan.png","An exquisite heavy gold antique bridal set with intricate temple motifs."
6,"Kundan Choker Necklace","SSV-CHK-006","₹ 1,20,000","Chokers","/picture/section-three.jpeg","Stunning Kundan choker embedded with precious stones that elegantly hugs the neckline."
7,"Elegant Everyday Chain","SSV-LWT-007","₹ 25,000","Light Weight Items","/images/mango_kundan.png","A minimalist, finely crafted gold chain meant for seamless daily wear."
8,"Temple Jewelry Mango Haram","SSV-HRM-008","₹ 2,15,000","Necklaces","/images/floral_kundan.png","A traditional mango motif haram studded with vibrant rubies and emeralds."
9,"Diamond Encrusted Bangles","SSV-BNG-009","₹ 1,45,000","Bangles","/picture/section-one.jpeg","Pair of heavy gold kadas brilliantly lined with flawless VVS diamonds."
10,"Floral Motif Ring","SSV-RNG-010","₹ 45,000","Rings","/images/mango_kundan.png","A delicate cocktail ring featuring a blooming floral design in 18k rose gold."
11,"Polki Diamond Choker","SSV-CHK-011","₹ 3,40,000","Chokers","/picture/section-three.jpeg","A royal statement piece featuring uncut Polki diamonds and South Sea pearls."
12,"Minimalist Gold Bracelet","SSV-BRC-012","₹ 18,000","Bracelets","/images/floral_kundan.png","A sleek and flexible 22k gold bracelet with a modern clasp."
13,"South Indian Bridal Collection","SSV-BRL-013","₹ 5,80,000","Bridal Sets","/images/floral_kundan.png","The ultimate bridal ensemble containing a long haram, short necklace, matching earrings, and maang tikka."
14,"Lightweight Jhumka Earrings","SSV-LWT-014","₹ 15,500","Light Weight Items","/images/mango_kundan.png","Comfortable and bouncy gold jhumkas that add a traditional touch without the heavy pull."
15,"Long Guttapusalu Haram","SSV-HRM-015","₹ 1,75,000","Necklaces","/images/floral_kundan.png","A heritage classic Guttapusalu haram featuring clusters of tiny pearls."
16,"Traditional Kadas","SSV-BNG-016","₹ 95,000","Bangles","/picture/section-one.jpeg","A pair of thick, hand-carved traditional kadas with screw-pin closures."
collection-necklace,"Necklace Collection","SSV-COL-NCK","Price on Request","Collection","/picture/section-one.jpeg","Explore our latest exquisite necklace designs. Each piece reflects the pinnacle of artisan craftsmanship and timeless gold elegance."
collection-haram,"Haram Collection","SSV-COL-HRM","Price on Request","Collection","/picture/section-twoo.jpeg","Traditional grandeur for elegant occasions. Featuring heavy gold work and intricate motifs that embody a rich cultural heritage."
collection-chokers,"Chokers Collection","SSV-COL-CHK","Price on Request","Collection","/picture/section-three.jpeg","Elevate your neckline with our exquisitely detailed chokers, stunningly studded with radiant gems and rich Kundan detailing."
collection-bangles,"Bangles Collection","SSV-COL-BNG","Price on Request","Collection","/picture/section-one.jpeg","Beautifully sculpted gold bangles to adorn your wrists. A perfect blend of heritage, durability, and contemporary charm."
collection-cz,"CZ Collection","SSV-COL-CZ","Price on Request","Collection","/picture/section-twoo.jpeg","Brilliant Cubic Zirconia pieces that offer the dazzle of diamonds. Experience exceptional clarity and mesmerizing designs."
